k,summ
2151,10284
2154,6876
2157,5910
2165,4797
2174,27170
2177,4780
2180,1456
2194,10948
2196,1815
2198,4599
2201,2673
2210,4023
2211,5753
2214,2995
2221,5520
2224,19482
2227,2180
2234,21632
2244,18656
2250,2510
2252,2535
2259,5907
2263,4992
2266,19987
2267,3437
2268,7028
2275,4680
2308,9843
2315,3740
2318,6687
2330,5005
2334,41132
2342,10870
2346,2424
2354,3216
2355,8340
2362,3429
2367,3530
2370,5463
2372,4080
2377,8242
2378,3560
2380,3256
2387,5412
2391,19057
2397,5460
2401,2256
2404,5416
2407,4470
2410,4440
2412,4350
2416,5460
2417,4086
2425,4761
2442,2706
2444,4752
2446,9826
2448,8868
2453,2254
2463,2076
2472,5112
2473,4869
2481,3108
2484,14112
2485,6520
2491,4336
2492,9954
2500,7368
2506,10504
2510,1980
2512,3564
2523,2814
2533,7170
2534,4670
2536,4844
2550,1152
2551,7029
2557,3630
2560,3950
2566,8316
2570,5166
2575,3360
2579,5010
2584,5142
2585,1885
2588,4790
2590,5148
2599,6588
2601,6974
2602,8148
2607,6320
2613,2792
2617,4744
2625,4302
2629,9212
2630,9438
2635,3679
2641,30726
2658,2792
2659,3636
2674,4344
2678,3660
2686,2750
2689,7600
2702,4383
2714,7579
2719,5742
2721,6360
2727,34128
2749,3114
2753,5060
2757,3150
2762,2241
2769,2992
2781,3710
2795,4172
2805,8100
2814,3390
2816,5134
2832,4500
2836,3708
2838,5520
2842,3276
2852,3592
2856,4860
2857,2556
2864,4509
2879,9707
2887,2968
2896,14300
2902,3822
2906,4563
2908,776
2912,9646
2925,9168
2927,1981
2932,6490
2938,5960
2942,3630
2946,4464
2952,3860
2958,1872
2965,4188
2973,3025
2977,5786
2979,7764
2980,3647
2987,6910
2988,7716
3002,2920
3020,3537
3027,15409
3028,5994
3043,4455
3053,6640
3061,25080
3067,6061
3074,25974
3078,5300
3082,6435
3084,5832
3098,2552
3112,2936
3121,3690
3140,2200
3141,3680
3145,6468
3164,6300
3170,9529
3174,3680
3177,3177
3187,7943
3188,9660
3193,7744
3194,2170
3195,26328
3199,5808
3200,3048
3203,1368
3212,5456
3213,8256
3229,3983
3239,5852
3245,6240
3246,31668
3249,6804
3253,15152
3269,16296
3271,11400
3272,6240
3287,6312
3292,3016
3293,2608
3312,4770
3313,13980
3315,5421
3316,5810
3317,3102
3319,8412
3323,5370
3324,5510
3330,5292
3332,5496
3336,4960
3340,8528
3343,6970
3345,1600
3349,9361
3358,9614
3365,14835
3366,7416
3367,7520
3388,988
3390,4257
3396,1605
3401,20192
3407,4464
3408,32660
3418,2167
3419,16960
3432,7711
3439,7770
3445,6616
3447,22878
3454,4710
3455,8305
3457,5990
3469,3080
3474,5679
3511,6743
3512,4173
3518,5922
3529,7224
3530,5778
3535,20980
3537,4581
3546,6990
3552,4056
3553,2982
3554,4236
3558,55044
3564,8912
3573,5992
3577,6180
3581,4455
3582,4844
3589,8464
3591,14091
3592,7044
3598,2486
3603,4212
3606,3610
3608,7518
3612,3220
3623,2768
3628,6039
3630,26208
3633,20434
3639,1960
3643,4460
3645,5599
3650,23870
3651,35672
3662,804
3666,4608
3685,1635
3691,9080
3694,5040
3697,3825
3704,2000
3705,5929
3706,3640
3709,6957
3722,7116
3724,22176
3731,28392
3733,8463
3734,8330
3745,2996
3749,3090
3753,1980
3763,3696
3764,2776
3766,3997
3769,15594
3771,3676
3772,5225
3775,7501
3783,3744
3793,2563
3794,4719
3805,6706
3810,3509
3817,7812
3818,8376
3829,4500
3830,5130
3835,3366
3856,4872
3857,3612
3862,2150
3864,5652
3872,27725
3874,5093
3875,4869
3906,9370
3913,14160
3919,5440
3922,4560
3942,8982
3943,4164
3946,8591
3947,2790
3948,2256
3960,6380
3965,8025
3969,5481
3972,3201
4001,1764
4002,3564
4016,10440
4020,7403
4026,1384
4027,4740
4046,23790
4059,7527
4060,6849
4064,6804
4067,5088
4072,4560
4077,4256
4092,4277
4097,6305
4098,8944
4103,5668
4105,26140
4111,5964
4113,3874
4114,6650
4118,6348
4123,2875
4126,4580
4129,11118
4146,5532
4148,3186
4150,3450
4154,6409
4163,5436
4167,3804
4168,10836
4174,14040
4178,1309
4182,6088
4188,2580
4190,1980
4196,8118
4200,4086
4209,4608
4210,2712
4212,4256
4215,6144
4220,8304
4227,5328
4231,5632
4237,3740
4242,5076
4244,786
4251,4980
4252,6030
4261,5400
4277,9009
4284,2025
4287,5868
4292,1101
4300,5382
4305,2898
4308,5232
4311,4301
4322,2356
4323,3177
4324,9671
4335,4272
4339,5463
4340,3222
4341,9180
4342,15525
4353,5488
4357,3960
4358,8334
4360,4610
4366,3635
4367,13030
4368,1768
4370,3934
4382,9270
4389,4072
4407,14042
4408,3164
4411,2210
4414,8050
4417,7984
4418,5256
4422,6800
4425,5027
4428,6799
4429,3159
4434,4500
4445,4320
4447,1900
4450,4340
4452,20786
4460,11808
4466,26784
4477,12110
4492,4977
4494,4797
4496,5820
4499,11805
4505,3460
4521,6510
4522,8764
4539,3230
4540,1516
4544,4110
4551,1736
4553,5362
4560,5136
4562,4392
4567,5790
4573,2688
4587,5144
4599,2680
4616,7810
4621,7095
4622,4986
4626,2384
4643,7616
4644,6435
4646,8957
4649,3682
4654,6336
4666,9450
4670,1532
4677,5048
4680,6138
4682,2262
4685,2532
4687,4288
4693,3462
4704,6072
4710,2238
4717,2592
4724,8125
4728,17925
4730,5984
4737,2862
4742,8109
4745,4301
4765,4872
4771,2415
4780,5040
4783,4466
4785,2856
4806,4664
4810,4081
4811,5024
4818,6809
4819,10506
4822,7126
4827,3408
4865,2528
4866,13832
4867,3405
4871,25704
4872,4806
4879,5350
4880,6348
4881,3285
4884,10062
4891,5819
4894,5200
4896,4725
4897,2004
4900,2930
4902,22272
4917,4248
4929,23958
4931,10842
4935,3399
4937,1580
4943,24606
4946,2169
4949,2024
4962,21505
4964,7620
4966,5094
4979,6264
4989,3215
5000,2815
5011,2850
5020,8376
5043,2401
5048,19836
5049,1575
5061,4763
5068,7000
5070,3311
5073,7540
5088,5306
5114,3960
5115,3216
5133,8888
5143,5590
5144,4856
5147,8532
5149,5640
5158,8076
5166,10488
5173,3857
5174,3520
5175,3410
5177,3575
5179,10515
5180,5226
5196,6240
5203,9669
5206,7605
5211,3738
5217,21492
5218,4352
5220,4572
5224,6748
5232,4380
5237,3930
5239,2030
5265,5808
5266,11600
5276,485
5286,13120
5292,2814
5296,6104
5299,6768
5313,3336
5314,21606
5319,5071
5321,3366
5322,5200
5338,2170
5341,5109
5343,6146
5350,2500
5351,3408
5356,2786
5361,728
5369,19300
5370,2630
5379,6024
5383,7200
5385,6900
5387,2370
5395,4719
5399,4214
5400,1320
5404,17342
5406,3120
5412,4491
5414,2392
5415,6080
5417,5852
5424,4472
5434,4104
5435,4500
5440,4980
5443,2849
5451,8877
5452,5434
5455,3318
5457,1398
5458,4548
5460,3612
5461,10224
5463,5200
5466,9191
5473,1240
5481,21120
5486,3820
5491,4464
5492,5952
5504,2055
5507,9416
5511,2520
5512,6200
5514,4662
5520,7645
5531,4291
5544,3000
5546,15000
5551,7917
5558,6660
5571,8088
5584,8582
5589,3220
5594,6058
5599,5538
5602,2556
5603,17676
5619,6300
5625,5610
5627,6088
5631,6589
5636,5048
5648,4800
5651,2530
5652,7502
5658,6149
5671,5370
5672,21200
5680,2400
5684,3627
5686,7788
5696,4785
5702,20094
5707,7140
5708,10421
5717,3375
5742,11649
5744,4824
5745,18700
5748,6256
5750,4228
5755,4450
5762,4301
5776,6041
5777,18649
5783,5040
5784,12784
5792,1090
5797,3584
5816,1390
5821,1672
5823,3850
5830,3336
5832,7230
5833,8398
5843,4816
5855,4480
5857,5166
5861,1572
5864,2080
5873,2472
5875,7029
5877,1341
5878,1928
5880,2960
5884,5652
5896,5588
5901,2555
5902,5343
5910,1692
5922,1100
5928,6330
5936,2264
5938,5211
5941,5280
5946,5247
5951,6984
5953,5780
5956,9516
5963,7436
5965,3010
5978,1860
5981,5306
5983,18582
5987,1540
5989,5423
5996,4914
5998,7202
6011,9146
6016,8162
6023,3486
6025,3744
6035,5004
6039,2562
6040,6192
6042,3960
6046,5360
6048,8310
6049,4424
6056,756
6063,9960
6076,2970
6084,1270
6088,4296
6090,5247
6091,3710
6096,2108
6097,2959
6104,7659
6118,7360
6124,4023
6125,2544
6133,4560
6137,7020
6144,3487
6147,1584
6150,7260
6153,19700
6156,3015
6160,9006
6166,5520
6172,3780
6174,4046
6179,6360
6182,6168
6184,2808
6190,6420
6198,3064
6200,990
6201,4680
6202,5625
6205,4851
6223,7821
6230,29406
6235,5555
6238,16968
6240,2145
6246,3336
6247,6570
6252,6000
6260,4272
6275,20878
6283,19206
6287,4596
6298,6400
6303,3152
6313,5110
6314,3159
6316,3073
6324,5068
6325,6562
6326,1490
6329,5076
6338,3927
6340,2304
6343,5265
6355,1668
6373,2664
6380,4121
6384,7740
6395,3757
6399,3798
6400,5272
6404,4280
6413,3507
6423,3470
6426,11975
6434,6130
6436,5551
6445,2690
6467,7614
6469,3059
6479,2646
6485,7420
6487,14496
6490,4200
6492,22266
6494,12064
6497,2256
6500,9711
6502,75432
6505,6128
6506,6740
6515,1665
6519,3960
6533,3846
6545,4570
6552,6045
6557,7856
6566,4246
6571,1392
6577,2868
6585,4500
6587,2145
6594,4768
6597,7632
6604,4616
6605,3895
6607,3624
6611,5130
6619,3400
6620,3717
6621,5616
6622,3096
6652,6525
6658,9980
6660,4290
6669,4030
6675,10128
6680,8008
6681,10096
6692,9564
6696,4880
6698,17199
6706,4041
6707,5700
6709,3976
6711,24129
6723,13216
6724,7440
6728,5850
6742,3860
6743,5148
6745,5495
6749,7183
6750,5488
6754,4563
6755,2316
6756,2976
6760,2736
6761,6538
6767,6878
6771,1974
6780,6810
6784,2720
6786,6875
6787,3558
6789,4128
6791,6348
6803,5648
6804,6695
6806,4200
6821,4584
6827,2766
6832,11420
6851,6076
6853,6480
6858,10544
6862,2370
6870,3904
6874,5170
6878,3476
6899,17612
6907,1260
6911,7514
6912,5093
6918,2961
6922,7488
6928,26406
6933,1255
6937,6040
6941,2115
6948,4648
6950,2387
6954,5291
6957,9971
6964,3728
6968,4750
6985,5304
6988,5715
6989,28681
6990,4690
6993,23552
6995,5229
7017,3393
7025,2024
7027,42275
7029,2324
7041,2784
7046,3234
7047,18600
7054,4056
7061,3344
7072,3968
7075,4144
7085,2079
7098,3530
7117,5736
7120,3558
7126,3480
7128,3051
7129,2328
7140,2230
7145,5423
7151,4606
7153,10275
7155,3794
7160,22896
7164,9120
7181,33068
7183,13515
7184,4660
7193,3198
7194,2470
7195,22838
7201,6578
7202,4037
7206,4068
7211,5562
7212,3231
7221,3110
7228,2928
7230,4670
7237,3016
7239,5117
7243,17820
7255,5649
7257,1500
7265,2424
7266,5301
7268,4578
7274,3770
7277,25228
7299,5568
7308,7956
7326,7755
7339,19690
7346,7065
7351,2720
7357,2928
7361,2885
7367,11632
7384,2250
7399,3240
7406,3390
7411,7956
7412,4920
7425,16368
7429,7579
7432,4290
7434,2660
7441,1393
7447,2968
7452,5628
7457,6710
7458,4886
7461,1872
7462,4620
7469,4131
7475,18753
7487,3725
7497,3520
7500,4333
7502,5467
7513,3672
7519,1890
7522,16218
7526,4392
7532,5580
7535,804
7542,6384
7547,12166
7550,2084
7556,5589
7557,4392
7558,2816
7568,5290
7569,6556
7571,7308
7600,8338
7601,5724
7612,9284
7617,3848
7619,5054
7620,5360
7645,5768
7646,6534
7647,14022
7658,6096
7659,4272
7665,3332
7671,4086
7678,3227
7692,3474
7695,5313
7699,2856
7710,3400
7713,3038
7715,27000
7717,4352
7718,2202
7728,5016
7730,4310
7739,2493
7741,8426
7744,2380
7750,6050
7756,1434
7765,7824
7767,4760
7768,25948
7775,1971
7776,4950
7784,3325
7786,8932
7798,3627
7803,6146
7817,5088
7823,5994
7824,3798
7834,13634
7841,8632
7847,4730
7852,1055
7854,4176
7861,3020
7866,10632
7870,5072
7879,5490
7884,4980
7904,4459
7906,4150
7915,17271
7918,6650
7925,13104
7930,3360
7936,13875
7941,33099
7943,3255
7947,3010
7950,4599
7958,8946
7961,5445
7962,9659
7968,5250
7972,2140
7977,4020
7978,5136
7982,4928
7992,8388
7998,5216
8012,7007
8016,7106
8017,5994
8019,13904
8029,5724
8034,23804
8038,26754
8043,2037
8047,2556
8048,3015
8052,2992
8053,3283
8058,4923
8063,1450
8065,5024
8066,3794
8071,2275
8084,2064
8090,6370
8095,3992
8097,7839
8107,3795
8110,3703
8116,1344
8117,4466
8126,5868
8127,2359
8129,3535
8137,3927
8154,3384
8157,19550
8165,2886
8174,5584
8182,4656
8185,5000
8194,10430
8199,5139
8200,6710
8202,3124
8203,4886
8204,7890
8209,4626
8210,9814
8215,4232
8226,22379
8232,5892
8234,10725
8238,6940
8239,16020
8242,11774
8248,7866
8249,3156
8253,8664
8263,2992
8266,4620
8267,8175
8275,4152
8284,5544
8292,9580
8298,2952
8299,2496
8307,37260
8311,1536
8318,25090
8320,4689
8322,1290
8329,19812
8337,7813
8343,25080
8351,4596
8359,9180
8361,8232
8377,3069
8389,11882
8390,4824
8395,3528
8399,2160
8402,2280
8404,8080
8405,2817
8408,6216
8421,4116
8422,5700
8424,9195
8435,5115
8437,30450
8438,10678
8443,4392
8448,5538
8453,2480
8460,5030
8461,3976
8470,6336
8482,5160
8500,3144
8503,23253
8518,4960
8523,11868
8524,2950
8531,4956
8533,4005
8541,7189
8546,2328
8547,3143
8548,3132
8549,5320
8551,14989
8555,2865
8556,27600
8567,4589
8569,22638
8570,6160
8571,5160
8581,24651
8591,6651
8593,4983
8599,7587
8602,52832
8603,3395
8608,4695
8610,5222
8611,3201
8612,2960
8621,8424
8623,20300
8630,6682
8632,3504
8635,2928
8636,7518
8637,18221
8640,2200
8642,4130
8646,5568
8647,7110
8648,6975
8651,22268
8655,13350
8668,3432
8670,5580
8673,18377
8681,1452
8682,23437
8687,5054
8692,4302
8695,5280
8697,1488
8702,8901
8708,8448
8710,5907
8711,9002
8714,4176
8717,2439
8722,8484
8752,8624
8755,4144
8759,8092
8761,8340
8762,7476
8773,4446
8774,5025
8780,4689
8790,2706
8798,5166
8802,5070
8815,9119
8821,4176
8826,2532
8835,5832
8839,3588
8850,6840
8853,3650
8869,8140
8873,1225
8875,6180
8888,6266
8905,3897
8906,22852
8922,8720
8923,8206
8925,16380
8927,1740
8942,2814
8949,4650
8961,1992
8968,7360
8970,3830
8990,8412
8997,5553
9003,2870
9008,5715
9010,3556
9021,7252
9022,2208
9025,13760
9026,4326
9027,3773
9043,8280
9049,3600
9058,1728
9061,3976
9077,4400
9096,6112
9097,4522
9098,2148
9100,3997
9114,5372
9117,3584
9120,3468
9128,7700
9131,4278
9134,966
9140,6477
9145,4578
9147,7632
9153,25279
9160,5291
9169,3936
9173,6540
9182,3590
9187,3126
9191,6224
9206,2052
9226,7308
9235,6539
9236,12826
9253,6636
9257,6655
9267,4572
9270,6816
9273,4878
9274,3372
9275,7548
9294,3440
9304,2790
9305,4380
9306,5040
9309,2808
9315,9828
9317,3927
9321,11060
9324,6024
9331,11737
9336,16864
9340,12464
9341,3633
9343,6020
9344,16020
9356,10740
9360,3080
9361,4890
9369,7384
9380,7425
9391,4104
9395,3536
9396,3690
9397,3185
9398,5269
9413,8208
9414,5060
9418,3346
9421,4242
9423,3495
9430,1320
9434,8470
9439,25438
9442,5656
9449,2264
9465,16191
9471,4104
9476,5874
9479,7050
9483,17480
9487,2295
9491,5016
9497,8040
9506,2596
9513,2844
9515,6650
9521,30212
9525,6830
9529,3213
9530,7194
9552,6193
9553,8820
9554,15732
9563,51392
9568,8004
9571,3744
9575,3267
9589,6048
9590,2170
9594,3784
9595,2148
9596,3069
9597,5566
9602,9108
9612,4060
9617,7072
9618,2274
9623,13200
9627,3150
9631,1888
9633,3980
9645,7425
9671,1416
9672,6042
9674,6118
9680,5122
9687,6666
9698,2352
9702,34704
9710,4592
9716,29808
9720,5082
9722,1099
9724,5244
9725,4565
9727,2882
9731,5824
9746,1836
9747,6945
9753,6396
9758,11070
9765,6360
9768,10388
9772,4128
9776,9022
9788,2680
9800,2259
9810,2328
9812,19400
9815,2794
9817,3320
9829,3059
9838,11424
9840,5522
9850,3558
9851,6358
9855,930
9865,27148
9877,4910
9880,3672
9884,2910
9885,9972
9887,6516
9889,5994
9893,3618
9905,5742
9906,2624
9920,4004
9923,1928
9951,2970
9988,8192
9990,2826
10003,2730
10006,4600
10023,2422
10030,8415
10040,2460
10047,4291
10058,20501
10060,3076
10062,4697
10075,1638
10096,3228
10099,5520
10102,8512
10106,4420
10113,5473
10122,12831
10127,2223
10128,8624
10130,2496
10131,2316
10134,9204
10140,15728
10142,4136
10144,5872
10150,6840
10154,7029
10157,3913
10167,4656
10171,6272
10177,1134
10182,3696
10183,5556
10187,4632
10188,2048
10189,2992
10192,2604
10196,3231
10201,11186
10209,3630
10212,8296
10215,5427
10217,2590
10224,4360
10226,4004
10233,2094
10242,2016
10248,2944
10253,1295
10257,3930
10262,7365
10263,3432
10271,2652
10274,6003
10283,2824
10292,1804
10293,4829
10297,3984
10316,5120
10320,4992
10321,3020
10339,9216
10342,10790
10343,3264
10345,2475
10347,7730
10350,18270
10353,2214
10356,6390
10359,9982
10360,3948
10363,7810
10372,6264
10382,11700
10391,6840
10399,9022
10407,2298
10411,5712
10416,5110
10423,5424
10427,10217
10432,3996
10441,2817
10449,3776
10452,2768
10453,3570
10458,5194
10463,5950
10464,5348
10467,4995
10474,7425
10487,5225
10491,2860
10497,1560
10515,8118
10518,745
10523,5805
10531,8895
10540,2392
10542,1584
10543,6192
10544,1698
10547,4203
10552,4224
10561,2691
10565,5930
10581,15236
10584,2744
10600,5230
10605,26676
10614,13507
10617,3828
10641,4928
10649,696
10651,23142
10652,11115
10653,9090
10654,5800
10656,4576
10662,2612
10665,2050
10680,3110
10683,7520
10692,2552
10698,6936
10720,6288
10722,5238
10725,3987
10727,3269
10729,11655
10733,4984
10736,6460
10748,7126
10749,3897
10765,9086
10780,526
10803,3900
10805,5292
10806,1808
10807,5607
10819,3534
10820,2248
10821,4890
10829,4548
10831,1127
10832,26784
10836,3708
10837,1560
10840,2400
10847,11112
10852,3752
10853,1760
10855,10080
10856,744
10867,4711
10868,3232
10869,2230
10871,3108
10890,7392
10891,8469
10892,1816
10895,5166
10910,6721
10914,7305
10918,7970
10919,5390
10923,6084
10924,4473
10927,30700
10928,25232
10936,3267
10938,7631
10941,4320
10947,2405
10955,7700
10962,6020
10966,8283
10974,1458
10986,2796
10992,6916
10994,3065
10996,8701
11004,12224
11008,1300
11015,2151
11020,7410
11026,7568
11034,3330
11037,7020
11040,4587
11042,2786
11059,4671
11074,2178
11081,5856
11086,4186
11089,3582
11092,6732
11098,2770
11109,3176
11115,3720
11116,3770
11131,4608
11135,3828
11141,17068
11144,4213
11151,5082
11152,8568
11160,5904
11161,2792
11163,14490
11165,3440
11170,11235
11171,4235
11174,9456
11175,5269
11176,3050
11177,6279
11180,1246
11187,3768
11193,3213
11196,5920
11203,3760
11206,4641
11210,3624
11212,1452
11215,3745
11220,1312
11223,3430
11229,2880
11240,4168
11246,6517
11248,1215
11258,2907
11266,3328
11281,30807
11284,7476
11289,3346
11295,2616
11297,5288
11298,12805
11299,10248
11300,8940
11312,18975
11317,2233
11323,3390
11324,11271
11325,8400
11326,4979
11328,5890
11333,4320
11334,776
11339,7619
11343,3087
11355,6028
11360,4249
11364,4509
11379,5810
11382,6600
11383,2120
11387,1674
11392,1746
11400,22980
11413,1687
11419,2960
11421,8064
11426,11886
11428,6647
11431,7792
11432,4104
11442,7260
11445,4844
11446,2108
11448,3420
11453,9035
11468,7020
11478,12948
11486,3102
11495,2532
11496,7336
11497,2310
11500,5724
11502,3830
11504,5424
11510,7336
11520,24276
11521,5382
11528,7476
11541,2420
11542,4361
11558,16954
11563,5136
11569,2205
11572,9435
11580,3419
11581,2376
11584,5100
11589,7423
11592,3707
11593,2761
11611,3146
11618,2256
11622,12699
11623,3870
11625,8228
11627,8874
11634,5910
11635,5760
11636,3129
11637,7512
11642,3224
11649,5681
11658,10692
11660,4256
11670,7826
11675,8811
11685,5841
11686,2178
11691,6000
11692,4504
11693,6732
11697,15840
11700,4739
11701,6492
11704,4550
11706,4256
11709,5181
11712,3878
11714,58560
11719,6985
11720,6908
11721,11747
11722,3104
11730,4270
11762,6281
11763,1719
11773,3680
11776,16575
11784,4374
11802,2992
11803,4920
11805,1926
11806,3537
11808,1898
11825,5552
11829,3960
11833,6468
11836,5819
11845,54840
11850,1926
11857,6057
11861,7249
11862,3444
11871,6240
11872,6812
11883,5901
11887,6589
11895,7117
11902,2997
11903,6061
11904,4320
11905,4920
11907,2556
11909,7104
11910,3224
11913,13583
11914,16609
11926,6804
11932,12801
11939,4788
11940,44670
11952,4050
11953,4500
11959,5733
11962,1760
11966,5994
11974,21670
11978,10768
11985,8954
11986,2990
11987,5264
12006,4440
12015,3162
12016,37800
12023,14416
12030,3303
12046,2805
12049,4752
12053,8900
12054,2890
12055,3880
12063,6708
12077,4995
12078,5747
12083,6924
12088,3645
12089,4528
12090,2240
12091,17968
12096,4490
12098,2870
12105,5784
12108,5210
12116,5780
12118,3465
12121,7884
12133,3949
12134,4367
12137,5430
12142,9548
12151,3120
12160,3285
12173,5484
12174,5376
12175,4032
12181,5125
12182,1824
12193,4644
12197,5061
12198,6903
12231,9254
12238,6208
12241,7590
12247,4540
12250,4641
12260,2756
12261,4776
12265,3558
12277,7973
12278,11154
12279,1880
12280,8255
12282,2064
12283,12855
12289,5368
12291,1584
12292,3728
12296,6384
12297,12880
12301,4392
12306,6838
12321,2792
12332,9968
12336,33950
12337,6462
12338,12255
12344,9416
12356,8352
12360,5901
12362,1675
12372,2604
12379,6408
12381,16820
12383,14927
12384,3240
12385,4880
12388,6950
12391,29580
12395,28912
12398,5551
12399,5556
12404,4416
12412,20083
12419,22554
12428,9044
12446,9526
12447,23000
12451,8694
12458,3410
12460,5122
12463,18568
12468,10021
12469,3400
12471,5049
12474,4216
12475,5400
12476,2045
12478,5688
12481,6471
12483,3372
12490,5355
12492,584
12506,4165
12508,2600
12511,29562
12514,9240
12515,13258
12524,9306
12525,6552
12527,5526
12539,4430
12542,3720
12551,1944
12558,14896
12561,8873
12563,2345
12566,32384
12568,23503
12569,3955
12570,3232
12571,4914
12572,8050
12573,4059
12579,22593
12581,4361
12585,8895
12589,5880
12601,4360
12606,3565
12616,8694
12631,624
12635,13949
12642,3024
12645,2800
12648,4976
12657,3540
12662,4596
12664,7110
12667,5780
12672,2821
12680,5973
12681,3702
12694,7677
12710,7896
12715,3836
12719,6193
12726,5993
12727,6444
12728,3960
12729,9296
12737,3042
12742,2121
12769,5728
12774,8630
12778,3069
12787,3180
12799,6396
12806,4422
12814,11800
12816,9340
12825,3192
12832,2628
12833,5022
12835,8640
12837,4706
12840,4560
12842,2745
12843,4095
12863,5500
12864,868
12865,2758
12866,6061
12871,5350
12883,3738
12884,5800
12885,3630
12887,8721
12889,28640
12893,4908
12894,2800
12899,7182
12901,6430
12904,6632
12905,8475
12907,5540
12910,2495
12912,8670
12913,7260
12918,6903
12920,16568
12921,9373
12923,8619
12928,12016
12938,4360
12951,2387
12952,4232
12959,14740
12969,5346
12970,1580
12974,5236
12983,7830
12989,1448
12991,2405
13007,2160
13012,2937
13013,4530
13018,3661
13020,3500
13024,1837
13036,2490
13051,7680
13082,10504
13083,7836
13089,17298
13090,3773
13093,7032
13107,14008
13108,11186
13111,2170
13116,7359
