k,summ
3306,6780
3313,6279
3319,1935
3323,6993
3331,4930
3343,4193
3351,5681
3365,1568
3383,3213
3393,3521
3394,490
3395,16720
3410,2695
3414,8140
3415,2982
3418,2464
3421,7787
3422,25762
3424,4860
3432,5670
3440,3528
3441,3080
3442,8424
3443,13832
3446,3256
3451,2150
3458,53460
3460,2860
3465,7280
3471,1312
3472,2560
3476,2568
3478,17528
3481,4741
3490,6336
3494,5811
3504,2180
3507,3460
3523,4320
3524,2936
3534,16284
3544,3048
3550,5681
3561,7644
3570,3186
3572,7744
3573,5792
3574,3514
3577,6468
3579,3315
3591,6516
3601,3600
3604,2775
3608,4515
3610,6344
3626,5484
3637,2266
3641,7644
3652,11720
3654,5130
3660,4444
3663,3360
3668,513
3669,5488
3670,4041
3682,5424
3687,5022
3695,2505
3700,3618
3701,3220
3708,2156
3709,3780
3711,6744
3715,3668
3719,2541
3724,16548
3728,2424
3735,6622
3736,7500
3739,4059
3750,11056
3756,1467
3757,10439
3759,6510
3760,6040
3763,4730
3771,5736
3775,6015
3776,6655
3786,4810
3787,3072
3794,3640
3824,2676
3825,9800
3835,7074
3836,4704
3847,21000
3849,4900
3855,6040
3867,16500
3870,4760
3883,3113
3884,25000
3888,9074
3892,3357
3905,5324
3907,4485
3910,4760
3911,25164
3914,1730
3916,7432
3917,4275
3918,3576
3930,2970
3964,2248
3972,3115
3987,3760
3995,9802
4003,15330
4007,2513
4011,8657
4018,5040
4020,9529
4025,17696
4034,6840
4040,5418
4041,4158
4043,7293
4053,5790
4054,44583
4056,5390
4058,4587
4061,7410
4063,7098
4064,7290
4072,4807
4075,4923
4079,3978
4081,3018
4096,2961
4099,2030
4102,3390
4103,6144
4109,5192
4113,18760
4115,3176
4124,1608
4128,3843
4151,6138
4160,4113
4162,1827
4163,21960
4164,4670
4166,6384
4180,12264
4182,5460
4183,3652
4184,27940
4185,4992
4188,4672
4194,4960
4199,2133
4202,5095
4206,2824
4209,6790
4212,8250
4216,7618
4229,9852
4230,1992
4235,3336
4246,9510
4255,5439
4268,6552
4270,14328
4275,7358
4276,3416
4278,5184
4315,14184
4329,2828
4332,3879
4333,4232
4343,7008
4351,34423
4355,5148
4357,6545
4358,4477
4364,2898
4365,4185
4370,2976
4376,1350
4379,3130
4382,2950
4395,19380
4396,17766
4397,19728
4401,1248
4403,7470
4408,3768
4410,5728
4413,8520
4418,5719
4422,21344
4426,7728
4430,8550
4432,10897
4435,5680
4436,10351
4448,5522
4457,5232
4461,9779
4479,8960
4480,6192
4483,27909
4486,18846
4487,4763
4494,5760
4517,2310
4524,6058
4526,17504
4527,3890
4534,4060
4537,24863
4543,5740
4546,2780
4548,2600
4552,7010
4555,4424
4557,13916
4559,26664
4563,2952
4567,3476
4574,3012
4577,3255
4582,6340
4584,1770
4591,7230
4593,2472
4600,10725
4605,16866
4608,4176
4609,9450
4610,5117
4621,5439
4627,5796
4628,6664
4640,3288
4645,3024
4646,5192
4647,2340
4651,1920
4654,6980
4657,2586
4665,52515
4693,2781
4697,6615
4706,7546
4710,10230
4719,10590
4721,5040
4724,1476
4727,5032
4737,5880
4738,7208
4740,3318
4743,7761
4745,2000
4753,3276
4758,5445
4765,20088
4768,8256
4770,4530
4771,4625
4773,22740
4778,6010
4779,6426
4781,6975
4783,7616
4789,5088
4791,7024
4794,5760
4802,6303
4809,18669
4812,5395
4814,1900
4818,4487
4829,3563
4840,10850
4844,15936
4847,14192
4855,9468
4856,5892
4858,6039
4862,6396
4869,5316
4870,4464
4872,4380
4874,5918
4877,2752
4891,2496
4892,4212
4894,3296
4910,7776
4917,7448
4921,2550
4925,6230
4932,1834
4945,1287
4953,5604
4958,2400
4959,6630
4963,6270
4975,3276
4978,2916
4980,7164
4983,6201
4984,9516
4985,10054
4989,4928
4993,6479
5000,4972
5001,5250
5002,1692
5012,2460
5016,4650
5017,7238
5019,8245
5020,2190
5023,3084
5025,2610
5030,3255
5031,6699
5032,5005
5033,5830
5038,18601
5039,5616
5043,6523
5051,2847
5055,8119
5060,6534
5065,3368
5067,4392
5074,5080
5084,4184
5085,4752
5089,5310
5090,4424
5093,2444
5100,10725
5101,3288
5108,1895
5118,5835
5126,7284
5131,3256
5135,4018
5140,7183
5143,13965
5146,7635
5152,6963
5153,6528
5155,8760
5157,2415
5168,4459
5181,6851
5188,6752
5194,6435
5200,18672
5211,5592
5216,2400
5220,8712
5223,3905
5234,11664
5238,5050
5251,4527
5254,9072
5258,2792
5263,16968
5276,14000
5277,11805
5281,2114
5287,1060
5290,6400
5295,2994
5299,4849
5306,42470
5310,5120
5311,4662
5312,5694
5313,6288
5315,8832
5321,1404
5322,3810
5339,4290
5350,4689
5355,4048
5368,2310
5371,8048
5372,3320
5376,4095
5377,19248
5379,5424
5381,2380
5387,8685
5394,3808
5399,6309
5400,25124
5404,4400
5405,4200
5406,4614
5411,6309
5413,2190
5420,7160
5422,7917
5426,3360
5428,3663
5432,2988
5437,10088
5441,3840
5444,2583
5456,2880
5468,6350
5470,1556
5472,3115
5475,6981
5476,7098
5479,4986
5481,1413
5483,2992
5485,7020
5487,27440
5491,8305
5494,4420
5495,5240
5522,22096
5542,8528
5560,2848
5565,2682
5569,6487
5573,6610
5574,3720
5582,1070
5589,8606
5591,8960
5592,9860
5594,3570
5600,8570
5604,5050
5608,2338
5613,5434
5619,41580
5620,3762
5624,2312
5639,82004
5649,3933
5653,3798
5664,8890
5669,1728
5697,4872
5699,19380
5703,19108
5710,4752
5718,2245
5729,3078
5734,5784
5735,5348
5737,7007
5739,7400
5748,7040
5753,5364
5758,2919
5761,3000
5767,6564
5777,13034
5780,3472
5782,7797
5793,7455
5796,4830
5802,6215
5805,3510
5807,2988
5809,6743
5817,1608
5828,5304
5833,4230
5836,19080
5837,7560
5840,6354
5844,5968
5847,3951
5855,8496
5857,2695
5862,6083
5863,5166
5865,8879
5872,6492
5874,2547
5882,2904
5884,3807
5899,4320
5907,9036
5916,17325
5919,6510
5931,936
5936,21097
5937,5208
5942,5010
5944,1270
5945,2790
5955,6730
5974,8184
5982,2220
5986,7480
5989,6479
5990,2432
6008,10220
6017,5110
6023,2007
6029,5085
6032,5930
6034,5600
6040,3186
6043,2220
6044,6750
6045,4254
6049,5684
6051,3660
6053,5978
6063,5008
6064,4374
6067,9890
6090,4518
6093,4080
6102,2452
6108,11088
6110,2943
6115,3905
6116,5710
6123,8596
6138,26187
6142,6315
6144,5328
6157,5640
6162,2149
6166,4266
6176,6919
6185,7515
6190,1840
6191,7084
6192,2365
6194,3100
6218,5176
6223,7227
6232,2133
6235,2200
6241,3283
6247,756
6248,17655
6249,2412
6252,2943
6257,4018
6258,4180
6259,3640
6262,18100
6265,3159
6274,7975
6280,7260
6284,8900
6285,5880
6286,2214
6297,8092
6317,8224
6319,6800
6320,4279
6321,6747
6326,9936
6332,8232
6336,4913
6340,6084
6348,2442
6351,1793
6353,4092
6361,4620
6372,7722
6379,12528
6381,19360
6391,7340
6397,3656
6406,4280
6407,3208
6412,1316
6423,19680
6430,6776
6434,19782
6436,15509
6441,4797
6444,21336
6445,3938
6451,4617
6455,2394
6458,6565
6473,5931
6494,4730
6498,6710
6521,13520
6526,4690
6535,9128
6553,6877
6559,972
6562,2550
6563,1914
6572,7808
6573,3454
6575,4688
6579,7504
6580,7764
6584,2634
6586,6570
6588,8515
6589,2760
6596,3982
6597,4070
6608,9156
6609,32604
6619,9990
6620,17460
6621,10087
6629,2718
6630,8216
6632,3542
6636,7956
6643,1072
6644,2142
6650,6856
6652,6075
6656,6799
6661,5379
6662,6384
6663,3470
6666,4293
6671,4602
6680,20454
6687,2576
6689,3939
6698,12727
6700,5140
6710,2570
6725,9075
6734,5175
6738,3216
6739,885
6740,8385
6742,6377
6748,5028
6758,4080
6767,4290
6768,3874
6774,10417
6780,8840
6787,5024
6789,9456
6798,9786
6801,4180
6810,5496
6814,2781
6816,5348
6818,3000
6820,7464
6829,3072
6837,4125
6842,47250
6845,39536
6846,4640
6849,4068
6853,2331
6854,2800
6859,8710
6861,12915
6865,3222
6868,1806
6870,2597
6874,3556
6876,1620
6883,7104
6900,16653
6902,2028
6904,1236
6912,4350
6914,5480
6923,3230
6925,5312
6930,3590
6937,3336
6938,4270
6945,9988
6951,6010
6956,4512
6957,7310
6959,3066
6960,4560
6966,2412
6972,1404
6980,2937
6984,28557
6986,7140
6989,4844
7000,3160
7004,12762
7005,4656
7006,3144
7010,1750
7020,4149
7028,1981
7036,1485
7063,5328
7067,2196
7078,7710
7080,8868
7081,15147
7087,6174
7102,7020
7103,1254
7110,2322
7113,1899
7118,7512
7119,4522
7123,5990
7124,8700
7136,2912
7150,3916
7151,3556
7163,5736
7174,4620
7177,3304
7178,5870
7183,3360
7184,8086
7186,4820
7193,1320
7205,19616
7207,1638
7212,6941
7214,3470
7215,6147
7220,2905
7226,5409
7236,2296
7239,4302
7240,5184
7241,5379
7242,4400
7245,1884
7263,20336
7266,1400
7268,4342
7280,8112
7281,7491
7282,5072
7290,6768
7291,11754
7293,2247
7295,11968
7297,2900
7298,7190
7310,2445
7313,4512
7321,3045
7323,9456
7330,6132
7336,10374
7352,7995
7356,7548
7374,7083
7379,3645
7380,3078
7386,24552
7388,889
7398,5525
7399,2016
7401,4635
7416,9204
7421,2205
7424,2590
7430,2748
7452,2870
7460,36372
7467,2784
7468,3544
7480,5820
7482,7884
7485,5292
7496,5346
7497,2556
7500,1636
7502,11936
7505,7476
7511,6512
7513,2244
7524,6050
7526,3206
7545,3828
7546,11209
7550,5004
7556,13034
7557,5912
7562,3312
7573,4680
7576,9772
7579,22330
7583,11310
7589,2784
7593,20328
7595,2430
7598,2710
7601,5369
7603,3960
7606,1824
7613,2925
7614,2285
7617,3720
7618,2893
7621,6656
7622,6594
7632,3123
7635,5964
7636,4437
7640,5445
7647,4875
7656,6084
7661,3770
7666,2925
7679,4473
7681,3885
7694,4130
7697,5244
7700,1805
7708,2619
7709,6510
7713,3024
7722,23877
7726,2844
7730,7155
7733,16470
7736,19341
7742,25520
7743,7551
7764,2496
7770,2662
7774,6945
7777,5352
7798,6538
7801,6550
7814,17568
7815,2856
7816,4207
7822,2219
7824,4098
7831,7056
7832,9713
7836,5013
7853,4284
7857,1336
7861,1578
7864,7033
7869,4680
7877,3682
7886,4939
7895,3045
7896,4048
7899,3340
7900,16635
7912,4016
7928,8616
7950,2560
7962,7884
7965,3822
7968,2055
7971,6853
7975,2810
7988,6648
8004,4032
8005,9636
8021,4480
8024,3825
8033,3328
8039,6812
8041,21717
8051,16884
8052,17782
8054,11843
8062,1496
8064,6812
8076,2660
8079,4208
8082,4746
8086,2028
8092,13440
8097,9212
8103,3256
8106,7866
8121,2863
8124,1288
8125,5280
8133,4944
8134,3140
8135,5082
8136,2547
8139,3372
8143,5830
8145,5103
8146,2860
8147,4887
8151,3996
8155,5210
8159,2460
8160,6390
8162,10758
8167,27200
8171,4303
8174,3968
8176,4998
8180,3374
8185,6682
8198,5031
8200,6237
8212,4329
8214,3699
8222,7590
8232,3789
8233,6688
8235,7254
8237,3087
8242,8470
8250,7110
8255,7764
8256,8970
8262,3530
8264,6578
8267,4675
8271,6012
8272,3000
8285,4914
8287,4708
8295,5918
8300,6972
8313,7910
8314,490
8316,3060
8320,5232
8326,3916
8335,10584
8336,3430
8346,5536
8348,5420
8350,8708
8357,4800
8359,18618
8365,3808
8366,3280
8381,4842
8390,6105
8395,7758
8402,7397
8403,3075
8405,5562
8417,3231
8419,5214
8421,16308
8427,5830
8441,2928
8455,5628
8463,6318
8466,6150
8470,4190
8471,4152
8473,6360
8477,5283
8478,3880
8484,7350
8486,17280
8491,5970
8494,2440
8506,6102
8507,2303
8515,4736
8520,9513
8521,5222
8532,4284
8545,8554
8547,5973
8559,13452
8571,2748
8581,4578
8601,2880
8602,10140
8623,1800
8624,3180
8639,11242
8641,2880
8643,5910
8648,7176
8653,4630
8654,1925
8660,50652
8663,12944
8673,4536
8682,2712
8686,7820
8697,27741
8700,14856
8717,22860
8733,3864
8739,4830
8745,8330
8753,15167
8764,7570
8765,8736
8766,4108
8773,5220
8775,4685
8777,5058
8778,2499
8799,6036
8801,7254
8811,2466
8815,2919
8827,7294
8847,3087
8850,3340
8852,7761
8865,8010
8866,8085
8871,7680
8876,10576
8878,9640
8885,4092
8886,1881
8902,2045
8907,3724
8916,6006
8920,2352
8924,2802
8929,6045
8938,8076
8940,19625
8949,9285
8950,11033
8954,9968
8956,7296
8957,22020
8961,2898
8969,3120
8971,28710
8975,1728
8993,6056
8999,4840
9002,4610
9007,4298
9028,6780
9040,4912
9041,2744
9053,17560
9060,2952
9062,2315
9065,7196
9067,2478
9075,13968
9081,5049
9087,3852
9090,2658
9099,5500
9101,5192
9136,22080
9138,2440
9143,5496
9147,15642
9148,5159
9149,22471
9164,9255
9170,6237
9172,2970
9180,3298
9185,3800
9188,3108
9195,6226
9197,3168
9221,1080
9224,7605
9229,3846
9234,5668
9245,2763
9249,6280
9251,4886
9253,3399
9255,4692
9256,5820
9257,8892
9260,5202
9269,3368
9277,5170
9289,2250
9292,7059
9297,6230
9308,6279
9311,5863
9325,3872
9327,1610
9343,6144
9346,7264
9352,4416
9372,3333
9384,3210
9389,4416
9390,2022
9391,7119
9395,4927
9396,2875
9398,4932
9400,18879
9405,830
9410,5824
9413,25536
9416,3051
9418,3129
9423,7980
9424,10556
9425,6328
9429,6012
9432,3112
9434,6204
9437,5976
9438,5104
9443,6504
9451,3792
9458,3896
9461,2349
9477,7370
9481,4130
9493,4878
9494,5753
9501,3924
9502,9600
9504,12207
9506,4250
9509,3906
9511,2412
9514,6896
9516,4719
9517,3822
9519,5032
9523,7524
9524,5690
9527,4959
9539,7284
9543,6721
9549,4644
9552,7580
9559,4400
9566,7812
9572,22575
9575,3126
9576,4500
9578,5214
9582,3438
9583,2928
9586,3920
9587,3820
9592,3223
9594,21582
9613,5148
9627,2493
9641,11998
9654,4511
9660,20142
9661,4048
9663,5412
9665,16016
9676,5161
9678,6468
9689,2984
9691,1884
9695,4771
9697,3094
9702,3951
9704,55737
9707,5174
9716,7264
9722,26312
9729,4725
9739,2916
9740,10514
9746,5746
9749,7378
9750,4628
9774,9020
9789,15510
9790,2628
9793,4774
9797,8203
9798,10998
9800,3210
9806,7623
9816,4977
9825,4020
9829,2601
9830,4367
9835,14671
9836,9432
9843,4990
9858,4270
9865,5012
9868,2136
9870,7631
9875,7224
9879,5302
9880,6630
9893,2980
9898,4797
9899,7232
9906,7056
9907,7281
9911,5992
9916,10062
9927,5148
9936,2910
9937,5344
9943,3707
9959,6864
9960,8492
9964,10170
9965,963
9978,4820
9979,1476
9981,8676
9998,14896
10002,2905
10003,2565
10004,1014
10011,8853
10014,3492
10021,2760
10037,1816
10039,1564
10041,2178
10051,8019
10053,3890
10062,3204
10067,4383
10068,16068
10073,7040
10074,5516
10077,5343
10083,1260
10087,3096
10088,3090
10091,1950
10094,16182
10095,2448
10096,5530
10101,5876
10109,4904
10117,14592
10122,9930
10127,3048
10132,5731
10147,2919
10148,1525
10151,11172
10154,3608
10155,5193
10168,1270
10182,3570
10196,2961
10200,14668
10207,5083
10211,2245
10214,6094
10222,27132
10223,2975
10252,2646
10262,2727
10263,8436
10265,5404
10268,4260
10293,4384
10295,17076
10301,8268
10306,5130
10307,6468
10334,3288
10336,4500
10337,10374
10341,3059
10377,765
10378,5082
10385,4548
10387,2890
10394,15174
10410,26864
10411,3306
10414,3612
10426,4536
10428,4740
10434,21408
10437,3970
10441,5751
10446,3660
10448,8261
10456,2100
10460,4640
10483,5808
10487,4238
10491,2295
10496,5052
10497,3168
10508,10116
10512,4520
10514,4190
10515,5290
10521,4320
10525,5170
10529,5460
10539,28776
10544,4389
10553,3612
10555,6230
10557,15816
10563,6589
10566,7164
10571,7785
10576,9933
10583,4635
10586,4104
10590,15330
10594,3792
10598,8160
10604,6812
10612,2970
10620,4710
10624,9669
10625,7400
10627,19038
10629,4328
10630,6426
10636,7502
10642,6072
10643,2204
10656,3696
10659,10995
10661,16315
10666,2950
10667,8109
10673,7007
10675,17409
10677,2748
10681,1758
10695,27037
10707,9802
10710,3138
10713,5797
10715,3762
10717,5093
10721,1477
10725,1463
10726,2388
10731,4320
10753,4400
10763,4675
10764,3290
10765,6994
10769,10448
10774,4824
10779,7735
10781,6669
10784,4200
10787,4050
10791,4277
10795,8008
10802,9534
10804,3198
10806,11726
10809,3248
10821,5616
10824,3296
10831,3982
10838,4704
10840,23064
10842,9464
10846,19516
10856,11620
10857,2592
10861,6970
10867,10816
10872,8891
10893,8974
10902,2170
10921,19383
10924,2904
10926,8895
10933,2996
10937,13440
10943,3339
10953,4304
10960,7683
10961,13014
10964,12552
10972,2959
10973,3171
10977,21870
10978,5030
10982,3822
10990,23478
10994,3129
10996,5265
10997,6903
10998,3360
11003,10458
11014,3130
11018,2338
11021,2360
11041,5508
11043,4347
11057,2072
11060,4059
11061,1040
11062,7420
11069,3474
11070,3402
11079,8344
11083,4236
11084,5031
11085,3339
11089,5796
11093,25938
11096,24465
11103,2562
11108,3876
11111,6336
11116,3600
11118,6227
11124,2548
11129,4752
11130,3828
11133,2205
11141,1656
11152,4096
11156,6523
11162,3852
11165,3258
11167,3474
11171,23706
11172,6636
11173,2793
11177,2380
11180,4081
11182,6984
11185,5346
11189,8235
11192,7610
11193,5194
11198,4712
11203,3030
11224,2436
11231,5930
11232,5292
11236,2422
11240,5352
11243,3486
11251,4653
11257,5176
11265,4025
11271,3927
11274,23450
11279,4466
11290,6985
11292,24108
11295,52736
11304,5239
11305,8940
11317,2748
11321,7865
11334,6996
11341,4704
11342,14472
11344,7887
11346,6120
11348,5580
11351,2490
11355,2180
11360,5173
11364,18270
11367,5174
11372,9530
11376,3211
11377,4823
11378,13046
11381,4221
11391,26525
11396,13507
11401,3760
11403,5320
11406,5505
11408,3240
11413,5894
11414,3760
11417,13520
11421,7048
11423,2424
11429,3520
11431,2010
11438,6864
11443,6912
11455,2107
11458,11662
11481,6057
11485,5109
11486,8021
11493,2820
11504,4640
11505,9504
11508,5940
11523,3220
11534,6540
11540,3829
11547,7630
11568,5460
11571,5614
11583,16366
11587,18840
11589,3952
11596,1855
11600,5478
11602,5625
11618,2737
11619,1592
11624,2016
11626,1884
11633,22071
11635,3930
11645,1698
11649,9702
11664,6138
11666,4176
11670,7800
11672,6565
11680,846
11685,6213
11691,31872
11700,4344
11706,4962
11722,2508
11730,4698
11743,7306
11765,5952
11767,29619
11769,11394
11777,4266
11778,5445
11788,1435
11808,3640
11820,17490
11827,7290
11833,4411
11840,19467
11842,4257
11844,3080
11846,5130
11854,5764
11860,8636
11861,6660
11872,5880
11874,9045
11875,2816
11876,830
11884,3798
11886,3179
11889,5436
11896,5964
11897,1492
11899,8352
11917,5054
11934,4572
11939,4960
11940,6525
11942,2835
11946,3122
11959,6292
11960,3432
11963,3780
11965,1785
11969,4840
11973,3575
11974,13889
11984,514
11986,4264
11987,3114
11990,8528
11992,4250
11995,1272
11996,29146
12004,21312
12007,4824
12011,3090
12015,4548
12017,2556
12018,12675
12019,6940
12020,5625
12021,17178
12022,6171
12025,5880
12030,2808
12031,4532
12032,6860
12034,5570
12035,4160
12037,1045
12041,6660
12043,4112
12045,6852
12055,17800
12068,7163
12069,2884
12076,11242
12088,7404
12107,4634
12110,6118
12111,30976
12122,22050
12132,3663
12134,5180
12135,2856
12139,6958
12142,19299
12152,3396
12156,5280
12160,6174
12161,6853
12162,6864
12164,12444
12172,2096
12191,26460
12196,1210
12205,1131
12208,3429
12209,2075
12211,4128
12225,1455
12226,4305
12228,6104
12237,4830
12244,3064
12247,6500
12254,4676
12262,2412
12281,7678
12283,6710
12290,5126
12293,4400
12311,4470
12313,5148
12328,2716
12342,4050
12343,2136
12344,2334
12346,2620
12348,4301
12352,3157
12369,2534
12374,7447
12375,20328
12380,2466
12381,4518
12387,23342
12390,8239
12393,3640
12398,2814
12408,5265
12410,2200
12411,3762
12420,16511
12426,2875
12434,4092
12454,5230
12456,6850
12457,4763
12459,2889
12466,13818
12467,10438
12468,1584
12469,3728
12480,6222
12486,1182
12487,11168
12489,3540
12492,1134
12493,3555
12496,8768
12501,19998
12510,6305
12513,4552
12514,4940
12518,5817
12519,4849
12521,6597
12522,32589
12534,6864
12538,3070
12542,18297
12550,2166
12551,4088
12562,26524
12565,5040
12567,1472
12569,6012
12582,6608
12583,3546
12592,4032
12596,8865
12613,3060
12614,1530
12615,4520
12645,5577
12646,22940
12653,18992
12655,7815
12658,3320
12662,4041
12683,3556
12689,4770
12703,10980
12704,3894
12711,10210
12712,13034
12714,2247
12722,6420
12723,2778
12725,6488
12729,6430
12735,3550
12746,3757
12750,4580
12756,5005
12759,6183
12763,4927
12768,19711
12773,7275
12777,5049
12778,2340
12785,31257
12787,2256
12792,5467
12795,7241
12801,6886
12804,1589
12807,4508
12812,4432
12814,5728
12826,2618
12829,5040
12834,2584
12850,945
12852,2240
12864,4336
12865,3330
12871,4862
12891,2130
12898,7212
12903,7722
12905,6526
12912,3906
12922,5180
12930,3352
12933,656
12938,9900
12945,6756
12947,4952
12959,6084
12969,4545
12971,2058
12977,5988
12989,4151
